Nombre,Precio,Mínimo (VES),Máximo (VES),Cantidad disponible (USDT),Método
RONIN_COIN,264.400,800000,4400000,25000.00,Banesco
_CAMBI0S_SEGUR0S_,264.364,500000,4400000,20000.00,Banesco
AxelKingS,264.353,400000,4400000,8800.00,Banesco
MaxuelTrader,264.352,300000,4400000,30000.00,Banesco
Bestsellerrr,264.350,150000,4000000,760.75,Banesco
panchofranco1,264.321,200000,2500000,1632.08,"Provincial, Mercantil, Bancamiga, Banesco"
DLR06,264.300,24000,50000,15294.93,Banesco
loboloading,264.275,60000,1180000,340.42,"Pago Movil, Banesco"
KingTradeVzla,264.210,60000,4400000,2207.96,Banesco
kufadani,264.205,20000,1860000,126.85,Banesco
